dataset,schema_id,num_productions,num_nonterminals,num_terminals,max_rhs_nt,nonlinear_productions,is_linear,has_recursion,has_array,has_nested_object,schema_size,error
train,train_329,71,64,32,2,20,False,False,False,True,6335,
train,train_330,20,14,15,2,4,False,False,True,False,444,
train,train_331,34,34,22,2,15,False,False,False,False,1322,
train,train_332,22,21,19,2,6,False,False,True,False,33555,
train,train_333,29,27,15,2,6,False,False,False,False,2460,
train,train_334,10,10,10,2,3,False,False,False,False,313,
train,train_335,50,45,25,2,12,False,False,True,False,16292,
train,train_336,48,46,26,2,18,False,False,True,True,1886,
train,train_337,40,32,20,2,9,False,False,True,True,1709,
train,train_338,5,4,6,1,0,True,False,False,False,160,
train,train_339,12,10,10,2,2,False,False,True,False,235,
train,train_340,16,14,14,2,4,False,False,True,False,533,
train,train_341,18,16,15,2,5,False,False,False,True,551,
train,train_342,14,12,12,2,3,False,False,True,False,479,
train,train_343,45,39,20,2,10,False,False,True,True,1546,
train,train_344,200,155,45,2,46,False,False,True,True,3829,
train,train_345,28,28,17,2,7,False,False,True,True,647,
train,train_346,16,16,13,2,5,False,False,False,True,623,
train,train_347,7,6,7,1,0,True,False,True,False,3353,
train,train_348,15,14,14,2,5,False,False,False,True,797,
train,train_349,156,154,82,2,75,False,False,True,False,2417,
train,train_350,4,4,5,1,0,True,False,False,False,205,
train,train_351,2,2,2,1,0,True,False,False,False,446,
train,train_352,24,24,17,2,6,False,False,False,False,907,
train,train_353,18,18,13,2,6,False,False,False,True,878,
train,train_354,16,16,13,2,5,False,False,False,True,603,
train,train_355,16,12,12,2,4,False,False,False,False,498,
train,train_356,10,8,9,2,2,False,False,True,False,278,
train,train_357,37,35,38,2,30,False,False,False,False,1947,
train,train_358,10,10,9,2,3,False,False,False,False,588,
train,train_359,87,76,75,2,51,False,False,False,True,6666,
train,train_360,66,56,36,2,21,False,False,True,True,2757,
train,train_361,2,2,2,1,0,True,False,True,False,133,
train,train_362,45,35,32,2,14,False,False,False,False,1098,
train,train_363,12,12,11,2,3,False,False,False,True,481,
train,train_364,608,432,263,2,207,False,False,True,True,27468,
train,train_365,16,12,12,2,4,False,False,False,False,567,
train,train_366,55,48,24,2,17,False,False,True,True,1170,
train,train_367,19,16,11,2,3,False,False,False,False,309,
train,train_368,16,16,13,2,5,False,False,False,True,686,
train,train_369,74,64,35,2,28,False,False,True,True,1306,
train,train_370,22,18,11,2,3,False,False,False,False,735,
train,train_371,14,14,12,2,4,False,False,False,True,605,
train,train_372,77,62,32,2,21,False,False,True,False,1763,
train,train_373,16,14,14,2,4,False,False,True,False,542,
train,train_374,30,25,15,2,5,False,False,False,False,1805,
train,train_375,2,2,1,1,0,True,False,False,False,165,
train,train_376,33,28,20,2,10,False,False,True,True,1055,
train,train_377,1238,1046,278,2,401,False,False,False,False,146339,
train,train_378,10,8,9,2,2,False,False,True,False,255,
train,train_379,72,68,55,2,46,False,False,False,True,11564,
train,train_380,34,26,14,2,5,False,False,False,False,1358,
train,train_381,14,14,12,2,4,False,False,False,True,513,
train,train_382,11,10,11,2,3,False,False,False,False,737,
train,train_383,20,18,13,2,6,False,False,True,True,305,
train,train_384,66,58,26,2,16,False,False,True,False,5617,
train,train_385,5,4,6,1,0,True,False,False,False,152,
train,train_386,12,12,11,2,4,False,False,False,False,521,
train,train_387,12,10,10,2,3,False,False,True,False,364,
train,train_388,14,14,12,2,5,False,False,False,False,1070,
train,train_389,4,4,5,1,0,True,False,False,False,789,
train,train_390,12,12,10,2,3,False,False,False,True,533,
train,train_391,86,75,40,2,37,False,True,False,False,3177,
train,train_392,16,14,14,2,4,False,False,True,False,465,
train,train_393,16,16,13,2,5,False,False,False,True,592,
train,train_394,20,20,14,2,8,False,False,False,False,688,
train,train_395,12,12,11,2,4,False,False,False,False,493,
train,train_396,16,16,13,2,5,False,False,False,True,655,
train,train_397,2,2,2,1,0,True,False,False,False,2668,
train,train_398,4,4,5,1,0,True,False,False,False,623,
train,train_399,99,86,44,2,36,False,False,True,True,5450,
train,train_400,7,6,9,2,1,False,False,False,False,328,
train,train_401,23,20,16,2,8,False,False,False,False,1737,
train,train_402,10,8,11,2,2,False,False,False,False,817,
train,train_403,8,8,7,2,2,False,False,False,True,997,
train,train_404,27,22,13,2,4,False,False,True,False,1998,
train,train_405,16,16,14,2,6,False,False,True,False,1173,
train,train_406,55,50,23,2,12,False,False,False,False,4764,
train,train_407,65,62,36,2,24,False,False,False,True,3834,
train,train_408,2,2,1,1,0,True,False,False,False,194,
train,train_409,67,52,22,2,21,False,False,True,True,1197,
train,train_410,6,6,7,2,1,False,False,False,False,857,
train,train_411,68,62,36,2,21,False,False,True,True,1884,
train,train_412,64,54,33,2,25,False,False,True,False,1376,
train,train_413,12,12,12,2,4,False,False,False,False,469,
train,train_414,243,108,151,2,36,False,False,True,True,6680,
train,train_415,7,6,7,1,0,True,False,True,False,4240,
train,train_416,14,11,14,2,3,False,False,False,False,604,
train,train_417,5,4,1,1,0,True,False,False,False,1411,
train,train_418,12,12,11,2,4,False,False,False,False,394,
train,train_419,15,14,11,2,3,False,False,False,True,554,
train,train_420,14,14,11,2,5,False,False,False,True,10891,
train,train_421,49,32,31,2,14,False,False,False,False,3461,
train,train_422,14,14,12,2,4,False,False,False,True,619,
train,train_423,679,552,162,2,199,False,True,False,False,78341,
train,train_424,2,2,2,1,0,True,False,False,False,351,
train,train_425,14,14,12,2,4,False,False,False,True,672,
train,train_426,10,10,9,2,3,False,False,False,False,448,
train,train_427,42,36,21,2,13,False,False,True,False,2247,
train,train_428,80,72,31,2,25,False,False,True,True,1759,
train,train_429,14,12,11,2,4,False,False,True,False,517,
train,train_430,6,6,7,2,1,False,False,False,False,423,
train,train_431,8,8,8,2,2,False,False,False,False,260,
train,train_432,89,62,57,2,26,False,False,False,True,5238,
train,train_433,16,14,13,2,4,False,False,True,True,444,
train,train_434,16,16,12,2,6,False,False,False,False,705,
train,train_435,22,18,13,2,7,False,False,True,False,800,
train,train_436,4,4,5,1,0,True,False,False,False,204,
train,train_437,536,472,149,2,182,False,False,False,False,62413,
train,train_438,16,12,12,2,4,False,False,False,False,460,
train,train_439,762,610,163,2,152,False,False,True,True,21875,
train,train_440,11,9,9,2,2,False,False,False,False,451,
train,train_441,26,26,15,2,8,False,False,False,False,2666,
train,train_442,11,9,8,2,1,False,False,False,True,518,
train,train_443,12,12,11,2,3,False,False,False,True,478,
train,train_444,16,14,14,2,4,False,False,True,False,491,
train,train_445,47,38,30,2,17,False,False,False,False,1078,
train,train_446,16,16,13,2,5,False,False,False,True,682,
train,train_447,22,22,14,2,8,False,False,False,True,1275,
train,train_448,300,167,174,2,76,False,False,True,True,13940,
train,train_449,18,16,13,2,6,False,False,True,False,969,
train,train_450,10,8,9,2,2,False,False,True,False,273,
train,train_451,93,75,38,2,29,False,False,True,True,3723,
train,train_452,16,12,10,2,2,False,False,True,False,311,
train,train_453,6,6,8,2,1,False,False,False,False,260,
train,train_454,22,18,12,2,3,False,False,True,False,826,
train,train_455,16,16,13,2,5,False,False,False,True,601,
train,train_456,100,80,46,2,27,False,False,True,True,3242,
train,train_457,368,284,170,2,120,False,False,True,True,7491,
train,train_458,18,17,11,2,1,False,False,False,True,570,
train,train_459,96,83,41,2,33,False,False,True,False,16505,
train,train_460,35,35,24,2,13,False,False,False,False,1774,
train,train_461,316,249,135,2,78,False,False,True,True,21682,
train,train_462,44,40,25,2,15,False,False,True,True,886,
train,train_463,348,299,96,2,87,False,False,False,False,9451,
train,train_464,24,20,18,2,8,False,False,True,True,1002,
train,train_465,14,14,10,2,3,False,False,False,False,3540,
train,train_466,98,88,48,2,28,False,True,False,False,2275,
train,train_467,16,14,12,2,4,False,False,True,True,566,
train,train_468,7,6,7,1,0,True,False,True,False,1777,
train,train_469,46,40,23,2,16,False,False,True,True,3887,
train,train_470,22,18,14,2,6,False,False,True,False,891,
train,train_471,339,268,122,2,100,False,False,True,True,13234,
train,train_472,10,8,10,2,2,False,False,True,False,492,
train,train_473,22,21,19,2,6,False,False,True,False,81967,
train,train_474,26,20,23,2,7,False,False,False,True,495,
train,train_475,10,10,10,2,3,False,False,False,False,354,
train,train_476,42,38,20,2,11,False,False,False,True,809,
train,train_477,33,30,18,2,10,False,False,True,True,1170,
train,train_478,16,14,13,2,5,False,False,True,False,314,
train,train_479,126,97,59,2,39,False,False,True,False,9456,
train,train_480,2,2,1,1,0,True,False,False,False,232,
train,train_481,5,4,6,1,0,True,False,False,False,211,
train,train_482,12,12,11,2,2,False,False,False,True,403,
train,train_483,181,138,88,2,55,False,False,True,True,13478,
train,train_484,43,40,25,2,12,False,False,False,True,1263,
train,train_485,24,19,18,2,5,False,False,True,False,631,
train,train_486,92,42,61,2,15,False,False,True,True,3289,
train,train_487,15,4,16,1,0,True,False,False,True,231,
train,train_488,18,16,15,2,6,False,False,True,False,384,
train,train_489,1360,1158,305,2,448,False,False,False,False,162006,
train,train_490,55,53,32,2,23,False,False,True,False,3561,
train,train_491,358,219,197,2,108,False,False,True,True,18969,
train,train_492,28,26,18,2,10,False,False,True,False,439,
train,train_493,40,34,24,2,13,False,False,True,False,2155,
train,train_494,8,6,8,2,1,False,False,True,False,623,
train,train_495,22,20,17,2,7,False,False,False,True,1763,
train,train_496,73,65,44,2,25,False,False,False,True,5310,
train,train_497,5,4,3,1,0,True,False,False,True,2237,
train,train_498,5,4,3,1,0,True,False,True,True,6936,
train,train_499,266,127,162,2,42,False,False,True,True,7536,
train,train_500,10,10,10,2,2,False,False,False,True,475,
train,train_501,23,18,10,2,4,False,False,False,False,545,
train,train_502,60,50,19,2,12,False,True,True,False,2980,
